repetition,role,held_subject_fold,held_video_fold,outer_cell,source_subjects,source_videos,source_rows,test_subjects,test_videos,test_rows,task,label_policy,source_scored_rows,source_low,source_high,source_both_classes,anchor_count,donor_min,donor_p10,donor_median,donor_max,zero_donor_rate,below_5_rate,below_20_rate,unique_subject_min,unique_video_min,unique_quadrant_min,same_quadrant_donor_fraction_median
0,primary,1,1,R00_S1_V1,11,10,24,8,6,19,valence,discard_midpoint,21,17,4,True,21,2,3.0,12.0,15,0.0,0.19047619047619047,1.0,2,2,1,0.4166666666666667
0,primary,1,1,R00_S1_V1,11,10,24,8,6,19,valence,midpoint_as_low,24,20,4,True,24,2,3.0,14.0,17,0.0,0.16666666666666666,1.0,2,2,1,0.5
0,primary,1,1,R00_S1_V1,11,10,24,8,6,19,valence,midpoint_as_high,24,17,7,True,24,5,5.0,12.0,15,0.0,0.0,1.0,4,4,2,0.3666666666666667
0,primary,1,1,R00_S1_V1,11,10,24,8,6,19,arousal,discard_midpoint,22,15,7,True,22,3,3.0,10.0,14,0.0,0.22727272727272727,1.0,2,1,1,0.38461538461538464
0,primary,1,1,R00_S1_V1,11,10,24,8,6,19,arousal,midpoint_as_low,24,17,7,True,24,3,3.0,12.0,16,0.0,0.20833333333333334,1.0,2,1,1,0.34523809523809523
0,primary,1,1,R00_S1_V1,11,10,24,8,6,19,arousal,midpoint_as_high,24,15,9,True,24,5,5.0,9.5,14,0.0,0.0,1.0,3,3,2,0.38461538461538464
0,primary,1,2,R00_S1_V2,16,11,45,7,3,9,valence,discard_midpoint,35,26,9,True,35,3,4.0,20.0,24,0.0,0.14285714285714285,0.4857142857142857,2,2,1,0.5
0,primary,1,2,R00_S1_V2,16,11,45,7,3,9,valence,midpoint_as_low,45,36,9,True,45,3,4.800000000000001,29.0,34,0.0,0.1111111111111111,0.2,2,2,1,0.4444444444444444
0,primary,1,2,R00_S1_V2,16,11,45,7,3,9,valence,midpoint_as_high,45,26,19,True,45,12,13.4,19.0,24,0.0,0.0,0.6,8,6,2,0.47619047619047616
0,primary,1,2,R00_S1_V2,16,11,45,7,3,9,arousal,discard_midpoint,35,21,14,True,35,9,10.0,15.0,20,0.0,0.0,0.9714285714285714,7,4,2,0.2727272727272727
0,primary,1,2,R00_S1_V2,16,11,45,7,3,9,arousal,midpoint_as_low,45,31,14,True,45,9,10.4,25.0,28,0.0,0.0,0.3111111111111111,7,4,2,0.3076923076923077
0,primary,1,2,R00_S1_V2,16,11,45,7,3,9,arousal,midpoint_as_high,45,21,24,True,45,13,15.4,17.0,22,0.0,0.0,0.7555555555555555,8,6,3,0.25
0,primary,1,3,R00_S1_V3,16,11,45,5,2,5,valence,discard_midpoint,36,25,11,True,36,5,6.0,18.0,24,0.0,0.0,0.6944444444444444,5,3,1,0.3592105263157894
0,primary,1,3,R00_S1_V3,16,11,45,5,2,5,valence,midpoint_as_low,45,34,11,True,45,5,7.200000000000001,26.0,32,0.0,0.0,0.24444444444444444,5,3,1,0.2962962962962963
0,primary,1,3,R00_S1_V3,16,11,45,5,2,5,valence,midpoint_as_high,45,25,20,True,45,13,15.0,18.0,24,0.0,0.0,0.7555555555555555,8,6,3,0.35
0,primary,1,3,R00_S1_V3,16,11,45,5,2,5,arousal,discard_midpoint,35,18,17,True,35,11,12.0,14.0,17,0.0,0.0,1.0,7,5,2,0.3076923076923077
0,primary,1,3,R00_S1_V3,16,11,45,5,2,5,arousal,midpoint_as_low,45,28,17,True,45,11,12.0,22.0,26,0.0,0.0,0.37777777777777777,8,5,2,0.2727272727272727
0,primary,1,3,R00_S1_V3,16,11,45,5,2,5,arousal,midpoint_as_high,45,18,27,True,45,13,13.4,20.0,25,0.0,0.0,0.4222222222222222,7,7,3,0.25
0,primary,2,1,R00_S2_V1,14,5,24,8,6,19,valence,discard_midpoint,20,14,6,True,20,3,3.0,10.0,11,0.0,0.3,1.0,2,1,1,0.425
0,primary,2,1,R00_S2_V1,14,5,24,8,6,19,valence,midpoint_as_low,24,18,6,True,24,3,3.0,12.5,16,0.0,0.25,1.0,2,1,1,0.25
0,primary,2,1,R00_S2_V1,14,5,24,8,6,19,valence,midpoint_as_high,24,14,10,True,24,5,6.0,9.0,11,0.0,0.0,1.0,3,2,1,0.15476190476190477
0,primary,2,1,R00_S2_V1,14,5,24,8,6,19,arousal,discard_midpoint,21,9,12,True,21,3,4.0,7.0,10,0.0,0.23809523809523808,1.0,2,3,2,0.2857142857142857
0,primary,2,1,R00_S2_V1,14,5,24,8,6,19,arousal,midpoint_as_low,24,12,12,True,24,5,6.0,8.0,11,0.0,0.0,1.0,4,3,2,0.24747474747474746
0,primary,2,1,R00_S2_V1,14,5,24,8,6,19,arousal,midpoint_as_high,24,9,15,True,24,3,4.0,9.5,13,0.0,0.20833333333333334,1.0,2,3,2,0.2857142857142857
0,primary,2,2,R00_S2_V2,16,8,42,5,5,6,valence,discard_midpoint,32,23,9,True,32,3,4.0,16.0,19,0.0,0.15625,1.0,3,2,1,0.5789473684210527
0,primary,2,2,R00_S2_V2,16,8,42,5,5,6,valence,midpoint_as_low,42,33,9,True,42,3,4.200000000000001,26.0,30,0.0,0.11904761904761904,0.21428571428571427,3,2,1,0.45993589743589747
0,primary,2,2,R00_S2_V2,16,8,42,5,5,6,valence,midpoint_as_high,42,23,19,True,42,11,13.0,16.0,19,0.0,0.0,1.0,7,4,2,0.5789473684210527
0,primary,2,2,R00_S2_V2,16,8,42,5,5,6,arousal,discard_midpoint,32,11,21,True,32,5,6.0,16.0,19,0.0,0.0,1.0,5,4,2,0.3333333333333333
0,primary,2,2,R00_S2_V2,16,8,42,5,5,6,arousal,midpoint_as_low,42,21,21,True,42,14,14.100000000000001,16.0,19,0.0,0.0,1.0,8,6,3,0.36397058823529416
0,primary,2,2,R00_S2_V2,16,8,42,5,5,6,arousal,midpoint_as_high,42,11,31,True,42,5,6.200000000000001,24.0,28,0.0,0.0,0.2619047619047619,5,4,2,0.2692307692307692
0,primary,2,3,R00_S2_V3,16,9,48,4,5,8,valence,discard_midpoint,38,23,15,True,38,7,10.0,15.0,20,0.0,0.0,0.9473684210526315,7,4,1,0.3888888888888889
0,primary,2,3,R00_S2_V3,16,9,48,4,5,8,valence,midpoint_as_low,48,33,15,True,48,7,10.0,25.0,31,0.0,0.0,0.3125,7,4,1,0.2962962962962963
0,primary,2,3,R00_S2_V3,16,9,48,4,5,8,valence,midpoint_as_high,48,23,25,True,48,12,15.0,19.0,22,0.0,0.0,0.6666666666666666,10,4,2,0.3944444444444445
0,primary,2,3,R00_S2_V3,16,9,48,4,5,8,arousal,discard_midpoint,35,8,27,True,35,5,6.0,21.0,26,0.0,0.0,0.2857142857142857,5,4,2,0.3333333333333333
0,primary,2,3,R00_S2_V3,16,9,48,4,5,8,arousal,midpoint_as_low,48,21,27,True,48,13,14.7,20.5,26,0.0,0.0,0.4583333333333333,10,7,3,0.29923273657289007
0,primary,2,3,R00_S2_V3,16,9,48,4,5,8,arousal,midpoint_as_high,48,8,40,True,48,5,6.7,33.0,36,0.0,0.0,0.16666666666666666,5,4,2,0.2687165775401069
0,primary,3,1,R00_S3_V1,13,10,28,8,6,14,valence,discard_midpoint,23,17,6,True,23,3,3.2,13.0,15,0.0,0.21739130434782608,1.0,2,2,1,0.3333333333333333
0,primary,3,1,R00_S3_V1,13,10,28,8,6,14,valence,midpoint_as_low,28,22,6,True,28,3,3.7,17.0,20,0.0,0.17857142857142858,0.9642857142857143,2,2,1,0.41666666666666663
0,primary,3,1,R00_S3_V1,13,10,28,8,6,14,valence,midpoint_as_high,28,17,11,True,28,6,7.0,12.5,15,0.0,0.0,1.0,3,4,2,0.33035714285714285
0,primary,3,1,R00_S3_V1,13,10,28,8,6,14,arousal,discard_midpoint,23,14,9,True,23,4,6.0,8.0,13,0.0,0.08695652173913043,1.0,4,2,1,0.3333333333333333
0,primary,3,1,R00_S3_V1,13,10,28,8,6,14,arousal,midpoint_as_low,28,19,9,True,28,4,6.0,14.0,18,0.0,0.07142857142857142,1.0,4,2,1,0.31009615384615385
0,primary,3,1,R00_S3_V1,13,10,28,8,6,14,arousal,midpoint_as_high,28,14,14,True,28,6,8.0,10.0,13,0.0,0.0,1.0,4,4,2,0.3205128205128205
0,primary,3,2,R00_S3_V2,16,11,51,6,3,6,valence,discard_midpoint,47,35,12,True,47,5,6.0,26.0,32,0.0,0.0,0.2553191489361702,4,2,1,0.48148148148148145
0,primary,3,2,R00_S3_V2,16,11,51,6,3,6,valence,midpoint_as_low,51,39,12,True,51,5,6.0,30.0,36,0.0,0.0,0.23529411764705882,4,2,1,0.46875
0,primary,3,2,R00_S3_V2,16,11,51,6,3,6,valence,midpoint_as_high,51,35,16,True,51,8,10.0,26.0,32,0.0,0.0,0.3137254901960784,7,5,2,0.48
0,primary,3,2,R00_S3_V2,16,11,51,6,3,6,arousal,discard_midpoint,41,20,21,True,41,13,14.0,16.0,19,0.0,0.0,1.0,7,6,3,0.2631578947368421
0,primary,3,2,R00_S3_V2,16,11,51,6,3,6,arousal,midpoint_as_low,51,30,21,True,51,14,16.0,23.0,28,0.0,0.0,0.4117647058823529,7,6,3,0.28
0,primary,3,2,R00_S3_V2,16,11,51,6,3,6,arousal,midpoint_as_high,51,20,31,True,51,13,15.0,23.0,29,0.0,0.0,0.39215686274509803,8,7,3,0.2631578947368421
0,primary,3,3,R00_S3_V3,16,11,53,4,2,4,valence,discard_midpoint,48,32,16,True,48,7,10.0,23.0,30,0.0,0.0,0.3333333333333333,7,3,1,0.29800724637681164
0,primary,3,3,R00_S3_V3,16,11,53,4,2,4,valence,midpoint_as_low,53,37,16,True,53,7,10.0,28.0,35,0.0,0.0,0.3018867924528302,7,3,1,0.2857142857142857
0,primary,3,3,R00_S3_V3,16,11,53,4,2,4,valence,midpoint_as_high,53,32,21,True,53,12,15.0,23.0,30,0.0,0.0,0.39622641509433965,9,5,2,0.2916666666666667
0,primary,3,3,R00_S3_V3,16,11,53,4,2,4,arousal,discard_midpoint,40,16,24,True,40,11,12.0,18.0,21,0.0,0.0,0.875,7,7,3,0.3033088235294118
0,primary,3,3,R00_S3_V3,16,11,53,4,2,4,arousal,midpoint_as_low,53,29,24,True,53,16,18.0,22.0,27,0.0,0.0,0.3584905660377358,7,7,3,0.2631578947368421
0,primary,3,3,R00_S3_V3,16,11,53,4,2,4,arousal,midpoint_as_high,53,16,37,True,53,11,12.2,29.0,34,0.0,0.0,0.3018867924528302,7,7,3,0.26666666666666666
1,sensitivity,1,1,R01_S1_V1,16,8,37,7,3,10,valence,discard_midpoint,30,18,12,True,30,5,7.0,12.0,17,0.0,0.0,1.0,5,3,1,0.4166666666666667
1,sensitivity,1,1,R01_S1_V1,16,8,37,7,3,10,valence,midpoint_as_low,37,25,12,True,37,5,7.0,18.0,24,0.0,0.0,0.8108108108108109,5,3,1,0.3
1,sensitivity,1,1,R01_S1_V1,16,8,37,7,3,10,valence,midpoint_as_high,37,18,19,True,37,11,12.0,13.0,17,0.0,0.0,1.0,6,4,2,0.4166666666666667
1,sensitivity,1,1,R01_S1_V1,16,8,37,7,3,10,arousal,discard_midpoint,33,13,20,True,33,7,8.0,14.0,19,0.0,0.0,1.0,5,4,2,0.3333333333333333
1,sensitivity,1,1,R01_S1_V1,16,8,37,7,3,10,arousal,midpoint_as_low,37,17,20,True,37,11,11.6,14.0,19,0.0,0.0,1.0,8,5,2,0.3076923076923077
1,sensitivity,1,1,R01_S1_V1,16,8,37,7,3,10,arousal,midpoint_as_high,37,13,24,True,37,7,8.0,18.0,23,0.0,0.0,0.8648648648648649,5,4,2,0.3333333333333333
1,sensitivity,1,2,R01_S1_V2,16,10,41,5,5,11,valence,discard_midpoint,33,26,7,True,33,3,5.0,20.0,25,0.0,0.09090909090909091,0.48484848484848486,3,3,1,0.4166666666666667
1,sensitivity,1,2,R01_S1_V2,16,10,41,5,5,11,valence,midpoint_as_low,41,34,7,True,41,3,5.0,27.0,32,0.0,0.07317073170731707,0.17073170731707318,3,3,1,0.4444444444444444
1,sensitivity,1,2,R01_S1_V2,16,10,41,5,5,11,valence,midpoint_as_high,41,26,15,True,41,9,10.0,19.0,25,0.0,0.0,0.5853658536585366,6,6,2,0.3333333333333333
1,sensitivity,1,2,R01_S1_V2,16,10,41,5,5,11,arousal,discard_midpoint,31,15,16,True,31,8,10.0,12.0,15,0.0,0.0,1.0,6,5,2,0.36363636363636365
1,sensitivity,1,2,R01_S1_V2,16,10,41,5,5,11,arousal,midpoint_as_low,41,25,16,True,41,8,10.0,19.0,23,0.0,0.0,0.6341463414634146,6,5,2,0.4
1,sensitivity,1,2,R01_S1_V2,16,10,41,5,5,11,arousal,midpoint_as_high,41,15,26,True,41,9,10.0,19.0,25,0.0,0.0,0.5853658536585366,8,6,3,0.2857142857142857
1,sensitivity,1,3,R01_S1_V3,16,10,42,5,5,9,valence,discard_midpoint,33,22,11,True,33,5,6.0,15.0,19,0.0,0.0,1.0,4,3,1,0.3333333333333333
1,sensitivity,1,3,R01_S1_V3,16,10,42,5,5,9,valence,midpoint_as_low,42,31,11,True,42,5,6.1000000000000005,23.0,29,0.0,0.0,0.2619047619047619,4,3,1,0.30434782608695654
1,sensitivity,1,3,R01_S1_V3,16,10,42,5,5,9,valence,midpoint_as_high,42,22,20,True,42,12,14.0,16.0,19,0.0,0.0,1.0,9,4,2,0.3333333333333333
1,sensitivity,1,3,R01_S1_V3,16,10,42,5,5,9,arousal,discard_midpoint,28,12,16,True,28,7,8.7,10.0,13,0.0,0.0,1.0,5,4,3,0.25
1,sensitivity,1,3,R01_S1_V3,16,10,42,5,5,9,arousal,midpoint_as_low,42,26,16,True,42,8,10.100000000000001,20.0,23,0.0,0.0,0.47619047619047616,5,4,3,0.2727272727272727
1,sensitivity,1,3,R01_S1_V3,16,10,42,5,5,9,arousal,midpoint_as_high,42,12,30,True,42,7,9.0,23.0,28,0.0,0.0,0.2857142857142857,5,5,3,0.21980676328502413
1,sensitivity,2,1,R01_S2_V1,16,10,38,6,4,8,valence,discard_midpoint,33,23,10,True,33,3,5.0,16.0,21,0.0,0.030303030303030304,0.8181818181818182,3,2,1,0.3333333333333333
1,sensitivity,2,1,R01_S2_V1,16,10,38,6,4,8,valence,midpoint_as_low,38,28,10,True,38,3,5.0,21.0,26,0.0,0.02631578947368421,0.3157894736842105,3,2,1,0.35
1,sensitivity,2,1,R01_S2_V1,16,10,38,6,4,8,valence,midpoint_as_high,38,23,15,True,38,7,10.0,15.0,21,0.0,0.0,0.8421052631578947,6,4,2,0.3333333333333333
1,sensitivity,2,1,R01_S2_V1,16,10,38,6,4,8,arousal,discard_midpoint,35,19,16,True,35,9,10.4,13.0,18,0.0,0.0,1.0,5,5,2,0.2857142857142857
1,sensitivity,2,1,R01_S2_V1,16,10,38,6,4,8,arousal,midpoint_as_low,38,22,16,True,38,9,11.0,15.0,21,0.0,0.0,0.9210526315789473,5,5,2,0.3076923076923077
1,sensitivity,2,1,R01_S2_V1,16,10,38,6,4,8,arousal,midpoint_as_high,38,19,19,True,38,10,12.0,14.0,18,0.0,0.0,1.0,7,5,2,0.3076923076923077
1,sensitivity,2,2,R01_S2_V2,16,11,41,6,3,8,valence,discard_midpoint,36,28,8,True,36,4,5.0,21.0,26,0.0,0.027777777777777776,0.4166666666666667,3,2,1,0.5263157894736842
1,sensitivity,2,2,R01_S2_V2,16,11,41,6,3,8,valence,midpoint_as_low,41,33,8,True,41,4,5.0,26.0,31,0.0,0.024390243902439025,0.1951219512195122,3,2,1,0.4583333333333333
1,sensitivity,2,2,R01_S2_V2,16,11,41,6,3,8,valence,midpoint_as_high,41,28,13,True,41,8,9.0,20.0,26,0.0,0.0,0.4878048780487805,4,5,2,0.45454545454545453
1,sensitivity,2,2,R01_S2_V2,16,11,41,6,3,8,arousal,discard_midpoint,28,14,14,True,28,8,9.0,10.5,13,0.0,0.0,1.0,5,6,3,0.2863636363636364
1,sensitivity,2,2,R01_S2_V2,16,11,41,6,3,8,arousal,midpoint_as_low,41,27,14,True,41,9,10.0,20.0,25,0.0,0.0,0.4634146341463415,5,6,3,0.3333333333333333
1,sensitivity,2,2,R01_S2_V2,16,11,41,6,3,8,arousal,midpoint_as_high,41,14,27,True,41,8,10.0,20.0,24,0.0,0.0,0.4634146341463415,7,7,3,0.2608695652173913
1,sensitivity,2,3,R01_S2_V3,16,11,47,6,4,11,valence,discard_midpoint,43,31,12,True,43,6,7.2,22.0,29,0.0,0.0,0.27906976744186046,5,3,1,0.3793103448275862
1,sensitivity,2,3,R01_S2_V3,16,11,47,6,4,11,valence,midpoint_as_low,47,35,12,True,47,6,7.6000000000000005,27.0,33,0.0,0.0,0.2553191489361702,5,3,1,0.3076923076923077
1,sensitivity,2,3,R01_S2_V3,16,11,47,6,4,11,valence,midpoint_as_high,47,31,16,True,47,10,11.0,22.0,29,0.0,0.0,0.3404255319148936,8,3,1,0.38095238095238093
1,sensitivity,2,3,R01_S2_V3,16,11,47,6,4,11,arousal,discard_midpoint,31,15,16,True,31,8,10.0,11.0,15,0.0,0.0,1.0,5,5,3,0.25
1,sensitivity,2,3,R01_S2_V3,16,11,47,6,4,11,arousal,midpoint_as_low,47,31,16,True,47,8,10.600000000000001,24.0,28,0.0,0.0,0.3617021276595745,6,5,3,0.23076923076923078
1,sensitivity,2,3,R01_S2_V3,16,11,47,6,4,11,arousal,midpoint_as_high,47,15,32,True,47,9,11.0,24.0,29,0.0,0.0,0.3191489361702128,5,6,3,0.25
1,sensitivity,3,1,R01_S3_V1,16,10,39,8,6,15,valence,discard_midpoint,31,21,10,True,31,3,4.0,15.0,19,0.0,0.1935483870967742,1.0,3,3,1,0.5882352941176471
1,sensitivity,3,1,R01_S3_V1,16,10,39,8,6,15,valence,midpoint_as_low,39,29,10,True,39,3,4.0,22.0,28,0.0,0.15384615384615385,0.2564102564102564,3,3,1,0.5
1,sensitivity,3,1,R01_S3_V1,16,10,39,8,6,15,valence,midpoint_as_high,39,21,18,True,39,11,11.8,15.0,19,0.0,0.0,1.0,8,4,2,0.5882352941176471
1,sensitivity,3,1,R01_S3_V1,16,10,39,8,6,15,arousal,discard_midpoint,36,16,20,True,36,6,10.0,14.0,18,0.0,0.0,1.0,5,5,2,0.3125
1,sensitivity,3,1,R01_S3_V1,16,10,39,8,6,15,arousal,midpoint_as_low,39,19,20,True,39,9,13.0,15.0,18,0.0,0.0,1.0,8,5,2,0.3076923076923077
1,sensitivity,3,1,R01_S3_V1,16,10,39,8,6,15,arousal,midpoint_as_high,39,16,23,True,39,6,10.0,16.0,20,0.0,0.0,0.9230769230769231,5,5,2,0.35
1,sensitivity,3,2,R01_S3_V2,16,9,38,8,4,11,valence,discard_midpoint,31,24,7,True,31,3,3.0,18.0,22,0.0,0.12903225806451613,0.8387096774193549,3,2,1,0.47058823529411764
1,sensitivity,3,2,R01_S3_V2,16,9,38,8,4,11,valence,midpoint_as_low,38,31,7,True,38,3,4.4,24.0,29,0.0,0.10526315789473684,0.18421052631578946,3,2,1,0.4782608695652174
1,sensitivity,3,2,R01_S3_V2,16,9,38,8,4,11,valence,midpoint_as_high,38,24,14,True,38,9,10.0,18.0,22,0.0,0.0,0.868421052631579,7,5,2,0.3333333333333333
1,sensitivity,3,2,R01_S3_V2,16,9,38,8,4,11,arousal,discard_midpoint,33,15,18,True,33,8,10.0,13.0,16,0.0,0.0,1.0,6,5,3,0.3076923076923077
1,sensitivity,3,2,R01_S3_V2,16,9,38,8,4,11,arousal,midpoint_as_low,38,20,18,True,38,12,13.0,15.0,19,0.0,0.0,1.0,8,5,3,0.3333333333333333
1,sensitivity,3,2,R01_S3_V2,16,9,38,8,4,11,arousal,midpoint_as_high,38,15,23,True,38,8,10.0,16.5,21,0.0,0.0,0.9473684210526315,6,5,3,0.22875816993464052
1,sensitivity,3,3,R01_S3_V3,16,9,37,5,3,7,valence,discard_midpoint,30,19,11,True,30,4,5.0,12.5,17,0.0,0.03333333333333333,1.0,4,2,1,0.48333333333333334
1,sensitivity,3,3,R01_S3_V3,16,9,37,5,3,7,valence,midpoint_as_low,37,26,11,True,37,4,5.0,19.0,24,0.0,0.02702702702702703,0.7297297297297297,4,2,1,0.4
1,sensitivity,3,3,R01_S3_V3,16,9,37,5,3,7,valence,midpoint_as_high,37,19,18,True,37,11,12.0,13.0,17,0.0,0.0,1.0,7,3,2,0.4666666666666667
1,sensitivity,3,3,R01_S3_V3,16,9,37,5,3,7,arousal,discard_midpoint,29,13,16,True,29,8,8.8,11.0,15,0.0,0.0,1.0,5,5,3,0.25
1,sensitivity,3,3,R01_S3_V3,16,9,37,5,3,7,arousal,midpoint_as_low,37,21,16,True,37,10,11.6,15.0,19,0.0,0.0,1.0,7,5,3,0.3076923076923077
1,sensitivity,3,3,R01_S3_V3,16,9,37,5,3,7,arousal,midpoint_as_high,37,13,24,True,37,8,9.0,17.0,21,0.0,0.0,0.8108108108108109,5,5,3,0.2631578947368421
2,sensitivity,1,1,R02_S1_V1,14,5,27,6,6,11,valence,discard_midpoint,22,17,5,True,22,2,2.2,10.0,14,0.0,0.22727272727272727,1.0,2,2,1,0.4444444444444444
2,sensitivity,1,1,R02_S1_V1,14,5,27,6,6,11,valence,midpoint_as_low,27,22,5,True,27,2,3.2,15.0,20,0.0,0.18518518518518517,0.9629629629629629,2,2,1,0.42857142857142855
2,sensitivity,1,1,R02_S1_V1,14,5,27,6,6,11,valence,midpoint_as_high,27,17,10,True,27,6,6.0,9.0,14,0.0,0.0,1.0,5,2,1,0.4444444444444444
2,sensitivity,1,1,R02_S1_V1,14,5,27,6,6,11,arousal,discard_midpoint,19,8,11,True,19,3,3.0,7.0,10,0.0,0.2631578947368421,1.0,3,3,2,0.16666666666666666
2,sensitivity,1,1,R02_S1_V1,14,5,27,6,6,11,arousal,midpoint_as_low,27,16,11,True,27,5,6.6,10.0,14,0.0,0.0,1.0,4,3,2,0.21428571428571427
2,sensitivity,1,1,R02_S1_V1,14,5,27,6,6,11,arousal,midpoint_as_high,27,8,19,True,27,3,3.0,12.0,17,0.0,0.18518518518518517,1.0,3,3,2,0.21428571428571427
2,sensitivity,1,2,R02_S1_V2,16,8,41,6,5,13,valence,discard_midpoint,37,23,14,True,37,5,8.0,15.0,21,0.0,0.0,0.8918918918918919,5,3,1,0.6153846153846154
2,sensitivity,1,2,R02_S1_V2,16,8,41,6,5,13,valence,midpoint_as_low,41,27,14,True,41,5,8.0,19.0,25,0.0,0.0,0.6341463414634146,5,3,1,0.5454545454545454
2,sensitivity,1,2,R02_S1_V2,16,8,41,6,5,13,valence,midpoint_as_high,41,23,18,True,41,9,12.0,15.0,21,0.0,0.0,0.9024390243902439,6,4,1,0.6
2,sensitivity,1,2,R02_S1_V2,16,8,41,6,5,13,arousal,discard_midpoint,32,9,23,True,32,5,6.0,16.5,21,0.0,0.0,0.90625,4,5,2,0.41428571428571426
2,sensitivity,1,2,R02_S1_V2,16,8,41,6,5,13,arousal,midpoint_as_low,41,18,23,True,41,11,13.0,16.0,21,0.0,0.0,0.926829268292683,8,6,2,0.3076923076923077
2,sensitivity,1,2,R02_S1_V2,16,8,41,6,5,13,arousal,midpoint_as_high,41,9,32,True,41,5,6.0,24.0,30,0.0,0.0,0.21951219512195122,4,5,2,0.3333333333333333
2,sensitivity,1,3,R02_S1_V3,16,9,52,4,5,6,valence,discard_midpoint,45,34,11,True,45,3,5.0,26.0,31,0.0,0.044444444444444446,0.24444444444444444,3,3,1,0.38461538461538464
2,sensitivity,1,3,R02_S1_V3,16,9,52,4,5,6,valence,midpoint_as_low,52,41,11,True,52,3,5.200000000000001,33.0,38,0.0,0.038461538461538464,0.21153846153846154,3,3,1,0.38472485768500947
2,sensitivity,1,3,R02_S1_V3,16,9,52,4,5,6,valence,midpoint_as_high,52,34,18,True,52,9,12.0,25.0,31,0.0,0.0,0.34615384615384615,7,4,2,0.3798076923076923
2,sensitivity,1,3,R02_S1_V3,16,9,52,4,5,6,arousal,discard_midpoint,41,15,26,True,41,8,10.0,19.0,25,0.0,0.0,0.5609756097560976,5,7,3,0.2857142857142857
2,sensitivity,1,3,R02_S1_V3,16,9,52,4,5,6,arousal,midpoint_as_low,52,26,26,True,52,17,19.0,21.0,25,0.0,0.0,0.23076923076923078,9,7,3,0.29705882352941176
2,sensitivity,1,3,R02_S1_V3,16,9,52,4,5,6,arousal,midpoint_as_high,52,15,37,True,52,8,11.0,29.0,35,0.0,0.0,0.28846153846153844,5,7,3,0.23333333333333334
2,sensitivity,2,1,R02_S2_V1,13,10,31,8,6,15,valence,discard_midpoint,25,18,7,True,25,4,4.0,12.0,16,0.0,0.16,1.0,3,2,1,0.45454545454545453
2,sensitivity,2,1,R02_S2_V1,13,10,31,8,6,15,valence,midpoint_as_low,31,24,7,True,31,4,4.0,17.0,20,0.0,0.12903225806451613,0.8387096774193549,3,2,1,0.35714285714285715
2,sensitivity,2,1,R02_S2_V1,13,10,31,8,6,15,valence,midpoint_as_high,31,18,13,True,31,6,8.0,11.0,16,0.0,0.0,1.0,5,4,2,0.45454545454545453
2,sensitivity,2,1,R02_S2_V1,13,10,31,8,6,15,arousal,discard_midpoint,24,16,8,True,24,3,4.300000000000001,11.0,15,0.0,0.125,1.0,2,2,2,0.25
2,sensitivity,2,1,R02_S2_V1,13,10,31,8,6,15,arousal,midpoint_as_low,31,23,8,True,31,3,5.0,17.0,20,0.0,0.0967741935483871,0.967741935483871,2,2,2,0.29411764705882354
2,sensitivity,2,1,R02_S2_V1,13,10,31,8,6,15,arousal,midpoint_as_high,31,16,15,True,31,7,9.0,12.0,15,0.0,0.0,1.0,5,4,2,0.2
