unit_type,unit_id,participant_id,session_id,participant_session_key,start_sec,end_sec,duration_sec,prior_two_channel_eligible,prior_one_channel_eligible,strict_two_channel_eligible,strict_one_channel_eligible,strict_event_status,true_emg_channel_1_index,true_emg_channel_1_label,true_emg_channel_2_index,true_emg_channel_2_label,ch1_status,ch1_reason,ch1_sample_count,ch1_finite_count,ch1_finite_fraction,ch1_nan_count,ch1_mean,ch1_std,ch1_minimum,ch1_maximum,ch1_robust_range_p01_p99,ch1_unique_count,ch1_unique_fraction,ch1_mode_value,ch1_mode_fraction,ch1_longest_equal_run,ch1_longest_equal_run_fraction,ch1_endpoint_fraction,ch1_exact_flatline,ch2_status,ch2_reason,ch2_sample_count,ch2_finite_count,ch2_finite_fraction,ch2_nan_count,ch2_mean,ch2_std,ch2_minimum,ch2_maximum,ch2_robust_range_p01_p99,ch2_unique_count,ch2_unique_fraction,ch2_mode_value,ch2_mode_fraction,ch2_longest_equal_run,ch2_longest_equal_run_fraction,ch2_endpoint_fraction,ch2_exact_flatline
presentation,P012_S001_p1,P012,S001,P012_S001,32.0,216.0,184.0,True,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,SATURATED_MODE;LONG_PLATEAU,94205,94205,1.0,0,198.67177004364984,25.22458845538185,-19.167236328125,201.6666717529297,215.97656993865968,1317,0.013980149673584205,201.6666717529297,0.9859667745873362,92883,0.9859667745873362,0.985977389735152,False,PASS,PASS,94205,94205,1.0,0,-20.54908102070043,0.08009049646329083,-20.955036163330078,-20.336231231689453,0.36481475830078125,14802,0.15712541797144525,-20.51148796081543,0.00030783928666206677,3,3.184544344780001e-05,2.1230295631866675e-05,False
presentation,P012_S001_p2,P012,S001,P012_S001,349.0,530.0,181.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,92669,92669,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.0791095188250655e-05,201.6666717529297,1.0,92669,1.0,1.0,True,PASS,PASS,92669,92669,1.0,0,-20.460713448601812,0.10658881330931265,-20.897289276123047,-20.19742202758789,0.47605865478515597,18886,0.2038006237253019,-20.5275936126709,0.000312941760459269,2,2.158219037650131e-05,2.158219037650131e-05,False
presentation,P012_S001_p3,P012,S001,P012_S001,663.0,835.0,172.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,88062,88062,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.1355635802048556e-05,201.6666717529297,1.0,88062,1.0,1.0,True,PASS,PASS,88062,88062,1.0,0,-20.643861957981585,0.21889920611504415,-21.246021270751953,-20.2373046875,0.7719378471374512,28110,0.3192069223955849,-20.827932357788086,0.00022711271604097113,3,3.406690740614567e-05,2.2711271604097113e-05,False
presentation,P012_S001_p4,P012,S001,P012_S001,968.0,1142.0,174.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,89085,89085,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.1225234326766572e-05,201.6666717529297,1.0,89085,1.0,1.0,True,PASS,PASS,89085,89085,1.0,0,-21.01873287105223,0.09200908194092311,-21.446184158325195,-20.774417877197266,0.45625320434570327,17396,0.19527417634843128,-21.035282135009766,0.0003816579671100634,3,3.3675702980299716e-05,2.2450468653533143e-05,False
transition,P012_S001_t1,P012,S001,P012_S001,216.0,349.0,133.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,68094,68094,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.4685581695890973e-05,201.6666717529297,1.0,68094,1.0,1.0,True,PASS,PASS,68094,68094,1.0,0,-20.506572849492052,0.07254961830309542,-20.87060546875,-20.361305236816406,0.34152698516845703,12955,0.19025171087026757,-20.446746826171875,0.0003377683790054924,3,4.405674508767292e-05,2.9371163391781947e-05,False
transition,P012_S001_t2,P012,S001,P012_S001,530.0,663.0,133.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,68094,68094,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.4685581695890973e-05,201.6666717529297,1.0,68094,1.0,1.0,True,PASS,PASS,68094,68094,1.0,0,-20.387951028586155,0.169106671024102,-21.207197189331055,-19.443967819213867,1.2188853836059579,20780,0.30516638764061443,-20.35743522644043,0.0002937116339178195,2,2.9371163391781947e-05,2.9371163391781947e-05,False
transition,P012_S001_t3,P012,S001,P012_S001,835.0,968.0,133.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,68094,68094,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.4685581695890973e-05,201.6666717529297,1.0,68094,1.0,1.0,True,PASS,PASS,68094,68094,1.0,0,-20.96760923134814,0.06906260264859333,-21.329538345336914,-20.824134826660156,0.34071220397949276,12706,0.18659500102799073,-20.946453094482422,0.00044056745087672923,2,2.9371163391781947e-05,2.9371163391781947e-05,False
presentation,P015_S001_p1,P015,S001,P015_S001,32.0,216.0,184.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,93623,93623,1.0,0,201.0842643188465,6.828259807502681,108.73107147216797,201.6666717529297,0.0,732,0.007818591585401023,201.6666717529297,0.9921920895506446,47873,0.511338025912436,0.9922027706866903,True,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,93623,93623,1.0,0,-201.66668701171875,0.0,-201.66668701171875,-201.66668701171875,0.0,1,1.0681136045629813e-05,-201.66668701171875,1.0,93623,1.0,1.0,True
presentation,P015_S001_p2,P015,S001,P015_S001,349.0,492.0,143.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,72761,72761,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.3743626393260126e-05,201.6666717529297,1.0,72761,1.0,1.0,True,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,72761,72761,1.0,0,-201.66668701171875,0.0,-201.66668701171875,-201.66668701171875,0.0,1,1.3743626393260126e-05,-201.66668701171875,1.0,72761,1.0,1.0,True
presentation,P015_S001_p3,P015,S001,P015_S001,625.0,784.0,159.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,80903,80903,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.2360481069923242e-05,201.6666717529297,1.0,80903,1.0,1.0,True,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,80903,80903,1.0,0,-201.66668701171875,0.0,-201.66668701171875,-201.66668701171875,0.0,1,1.2360481069923242e-05,-201.66668701171875,1.0,80903,1.0,1.0,True
presentation,P015_S001_p4,P015,S001,P015_S001,917.0,1089.0,172.0,False,True,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,LONG_PLATEAU,87517,87517,1.0,0,197.91583413202838,19.850071456176362,36.1959228515625,201.6666717529297,137.45590637207033,4813,0.0549950295371185,201.6666717529297,0.9449135596512678,55440,0.6334769244832432,0.9449249860027195,False,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,87517,87517,1.0,0,-201.66668701171875,0.0,-201.66668701171875,-201.66668701171875,0.0,1,1.1426351451717952e-05,-201.66668701171875,1.0,87517,1.0,1.0,True
transition,P015_S001_t1,P015,S001,P015_S001,216.0,349.0,133.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,67673,67673,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.4776942059610185e-05,201.6666717529297,1.0,67673,1.0,1.0,True,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,67673,67673,1.0,0,-201.66668701171875,0.0,-201.66668701171875,-201.66668701171875,0.0,1,1.4776942059610185e-05,-201.66668701171875,1.0,67673,1.0,1.0,True
transition,P015_S001_t2,P015,S001,P015_S001,492.0,625.0,133.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,67673,67673,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.4776942059610185e-05,201.6666717529297,1.0,67673,1.0,1.0,True,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,67673,67673,1.0,0,-201.66668701171875,0.0,-201.66668701171875,-201.66668701171875,0.0,1,1.4776942059610185e-05,-201.66668701171875,1.0,67673,1.0,1.0,True
transition,P015_S001_t3,P015,S001,P015_S001,784.0,917.0,133.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,67673,67673,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.4776942059610185e-05,201.6666717529297,1.0,67673,1.0,1.0,True,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,67673,67673,1.0,0,-201.66668701171875,0.0,-201.66668701171875,-201.66668701171875,0.0,1,1.4776942059610185e-05,-201.66668701171875,1.0,67673,1.0,1.0,True
presentation,P019_S001_p1,P019,S001,P019_S001,32.0,216.0,184.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,NONFINITE,36732,0,0.0,36732,,,,,,0,0.0,,,0,,,False,FAIL,NONFINITE,36732,0,0.0,36732,,,,,,0,0.0,,,0,,,False
presentation,P019_S001_p2,P019,S001,P019_S001,349.0,521.0,172.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False
presentation,P019_S001_p3,P019,S001,P019_S001,654.0,797.0,143.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False
presentation,P019_S001_p4,P019,S001,P019_S001,930.0,1102.0,172.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False
transition,P019_S001_t1,P019,S001,P019_S001,216.0,349.0,133.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False
transition,P019_S001_t2,P019,S001,P019_S001,521.0,654.0,133.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False
transition,P019_S001_t3,P019,S001,P019_S001,797.0,930.0,133.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False
presentation,P020_S001_p1,P020,S001,P020_S001,32.0,216.0,184.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,94080,94080,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.0629251700680271e-05,201.6666717529297,1.0,94080,1.0,1.0,True,PASS,PASS,94080,94080,1.0,0,-23.77643303581241,0.16004539013603383,-24.23500633239746,-22.749061584472656,0.8955974197387704,24098,0.2561437074829932,-23.852689743041992,0.00023384353741496598,2,2.1258503401360543e-05,2.1258503401360543e-05,False
presentation,P020_S001_p2,P020,S001,P020_S001,349.0,521.0,172.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,87944,87944,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.1370872373328482e-05,201.6666717529297,1.0,87944,1.0,1.0,True,PASS,PASS,87944,87944,1.0,0,-24.54725392031993,0.18461440366333687,-25.0609188079834,-23.500160217285156,0.952605991363523,27591,0.3137337396525061,-24.572824478149414,0.00020467570271991267,2,2.2741744746656964e-05,2.2741744746656964e-05,False
presentation,P020_S001_p3,P020,S001,P020_S001,654.0,828.0,174.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,88967,88967,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.1240122742140344e-05,201.6666717529297,1.0,88967,1.0,1.0,True,PASS,PASS,88967,88967,1.0,0,-24.356524302314213,0.20906689095885142,-24.945308685302734,-23.273529052734375,1.0229343032836908,30233,0.339822630863129,-24.28123664855957,0.00021356233210066653,2,2.2480245484280688e-05,2.2480245484280688e-05,False
presentation,P020_S001_p4,P020,S001,P020_S001,961.0,1160.0,199.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,101749,101749,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,9.828106418736302e-06,201.6666717529297,1.0,101749,1.0,1.0,True,PASS,PASS,101749,101749,1.0,0,-23.803735082596518,0.17059031795343554,-24.216903686523438,-22.75764274597168,0.861224746704103,25992,0.25545214203579397,-23.926494598388672,0.00023587455404967125,2,1.9656212837472604e-05,1.9656212837472604e-05,False
transition,P020_S001_t1,P020,S001,P020_S001,216.0,349.0,133.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,68003,68003,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.4705233592635619e-05,201.6666717529297,1.0,68003,1.0,1.0,True,PASS,PASS,68003,68003,1.0,0,-24.244181910488564,0.2481449881586845,-24.853328704833984,-22.96886444091797,1.0541471862792946,29142,0.4285399173565872,-24.395597457885742,0.00019116803670426305,3,4.4115700777906855e-05,2.9410467185271237e-05,False
transition,P020_S001_t2,P020,S001,P020_S001,521.0,654.0,133.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,68004,68004,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.4705017351920476e-05,201.6666717529297,1.0,68004,1.0,1.0,True,PASS,PASS,68004,68004,1.0,0,-24.616238109140312,0.16481166474585046,-25.090009689331055,-23.607067108154297,0.9125164794921901,22575,0.3319657667196047,-24.69196891784668,0.00026469031233456857,2,2.941003470384095e-05,2.941003470384095e-05,False
transition,P020_S001_t3,P020,S001,P020_S001,828.0,961.0,133.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,68003,68003,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.4705233592635619e-05,201.6666717529297,1.0,68003,1.0,1.0,True,PASS,PASS,68003,68003,1.0,0,-23.847577415213763,0.1636190618508288,-24.424686431884766,-22.92484474182129,0.9780068206787078,22428,0.32980897901563166,-23.899473190307617,0.000308809905445348,3,4.4115700777906855e-05,2.9410467185271237e-05,False
