repetition,role,scheme,cell_id,subject_fold,video_fold,held_out_participants,held_out_videos,task,policy,raw_test_rows,retained_test_rows,test_low,test_high,test_both_classes,train_rows,retained_train_rows,train_low,train_high,train_both_classes
0,primary,3x3,R00_S1_V1,1,1,P002;P004;P006;P008;P009;P011;P014;P027,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,valence,discard_midpoint,19,18,12,6,True,24,21,17,4,True
0,primary,3x3,R00_S1_V1,1,1,P002;P004;P006;P008;P009;P011;P014;P027,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,valence,midpoint_as_low,19,19,13,6,True,24,24,20,4,True
0,primary,3x3,R00_S1_V1,1,1,P002;P004;P006;P008;P009;P011;P014;P027,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,valence,midpoint_as_high,19,19,12,7,True,24,24,17,7,True
0,primary,3x3,R00_S1_V1,1,1,P002;P004;P006;P008;P009;P011;P014;P027,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,arousal,discard_midpoint,19,14,2,12,True,24,22,15,7,True
0,primary,3x3,R00_S1_V1,1,1,P002;P004;P006;P008;P009;P011;P014;P027,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,arousal,midpoint_as_low,19,19,7,12,True,24,24,17,7,True
0,primary,3x3,R00_S1_V1,1,1,P002;P004;P006;P008;P009;P011;P014;P027,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,arousal,midpoint_as_high,19,19,2,17,True,24,24,15,9,True
0,primary,3x3,R00_S1_V2,1,2,P002;P004;P006;P008;P009;P011;P014;P027,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,valence,discard_midpoint,9,7,3,4,True,45,35,26,9,True
0,primary,3x3,R00_S1_V2,1,2,P002;P004;P006;P008;P009;P011;P014;P027,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,valence,midpoint_as_low,9,9,5,4,True,45,45,36,9,True
0,primary,3x3,R00_S1_V2,1,2,P002;P004;P006;P008;P009;P011;P014;P027,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,valence,midpoint_as_high,9,9,3,6,True,45,45,26,19,True
0,primary,3x3,R00_S1_V2,1,2,P002;P004;P006;P008;P009;P011;P014;P027,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,arousal,discard_midpoint,9,6,1,5,True,45,35,21,14,True
0,primary,3x3,R00_S1_V2,1,2,P002;P004;P006;P008;P009;P011;P014;P027,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,arousal,midpoint_as_low,9,9,4,5,True,45,45,31,14,True
0,primary,3x3,R00_S1_V2,1,2,P002;P004;P006;P008;P009;P011;P014;P027,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,arousal,midpoint_as_high,9,9,1,8,True,45,45,21,24,True
0,primary,3x3,R00_S1_V3,1,3,P002;P004;P006;P008;P009;P011;P014;P027,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,valence,discard_midpoint,5,4,4,0,False,45,36,25,11,True
0,primary,3x3,R00_S1_V3,1,3,P002;P004;P006;P008;P009;P011;P014;P027,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,valence,midpoint_as_low,5,5,5,0,False,45,45,34,11,True
0,primary,3x3,R00_S1_V3,1,3,P002;P004;P006;P008;P009;P011;P014;P027,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,valence,midpoint_as_high,5,5,4,1,True,45,45,25,20,True
0,primary,3x3,R00_S1_V3,1,3,P002;P004;P006;P008;P009;P011;P014;P027,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,arousal,discard_midpoint,5,5,3,2,True,45,35,18,17,True
0,primary,3x3,R00_S1_V3,1,3,P002;P004;P006;P008;P009;P011;P014;P027,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,arousal,midpoint_as_low,5,5,3,2,True,45,45,28,17,True
0,primary,3x3,R00_S1_V3,1,3,P002;P004;P006;P008;P009;P011;P014;P027,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,arousal,midpoint_as_high,5,5,3,2,True,45,45,18,27,True
0,primary,3x3,R00_S2_V1,2,1,P001;P003;P007;P017;P018;P022;P023;P024,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,valence,discard_midpoint,19,18,13,5,True,24,20,14,6,True
0,primary,3x3,R00_S2_V1,2,1,P001;P003;P007;P017;P018;P022;P023;P024,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,valence,midpoint_as_low,19,19,14,5,True,24,24,18,6,True
0,primary,3x3,R00_S2_V1,2,1,P001;P003;P007;P017;P018;P022;P023;P024,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,valence,midpoint_as_high,19,19,13,6,True,24,24,14,10,True
0,primary,3x3,R00_S2_V1,2,1,P001;P003;P007;P017;P018;P022;P023;P024,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,arousal,discard_midpoint,19,15,9,6,True,24,21,9,12,True
0,primary,3x3,R00_S2_V1,2,1,P001;P003;P007;P017;P018;P022;P023;P024,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,arousal,midpoint_as_low,19,19,13,6,True,24,24,12,12,True
0,primary,3x3,R00_S2_V1,2,1,P001;P003;P007;P017;P018;P022;P023;P024,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,arousal,midpoint_as_high,19,19,9,10,True,24,24,9,15,True
0,primary,3x3,R00_S2_V2,2,2,P001;P003;P007;P017;P018;P022;P023;P024,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,valence,discard_midpoint,6,5,4,1,True,42,32,23,9,True
0,primary,3x3,R00_S2_V2,2,2,P001;P003;P007;P017;P018;P022;P023;P024,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,valence,midpoint_as_low,6,6,5,1,True,42,42,33,9,True
0,primary,3x3,R00_S2_V2,2,2,P001;P003;P007;P017;P018;P022;P023;P024,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,valence,midpoint_as_high,6,6,4,2,True,42,42,23,19,True
0,primary,3x3,R00_S2_V2,2,2,P001;P003;P007;P017;P018;P022;P023;P024,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,arousal,discard_midpoint,6,5,4,1,True,42,32,11,21,True
0,primary,3x3,R00_S2_V2,2,2,P001;P003;P007;P017;P018;P022;P023;P024,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,arousal,midpoint_as_low,6,6,5,1,True,42,42,21,21,True
0,primary,3x3,R00_S2_V2,2,2,P001;P003;P007;P017;P018;P022;P023;P024,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,arousal,midpoint_as_high,6,6,4,2,True,42,42,11,31,True
0,primary,3x3,R00_S2_V3,2,3,P001;P003;P007;P017;P018;P022;P023;P024,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,valence,discard_midpoint,8,7,6,1,True,48,38,23,15,True
0,primary,3x3,R00_S2_V3,2,3,P001;P003;P007;P017;P018;P022;P023;P024,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,valence,midpoint_as_low,8,8,7,1,True,48,48,33,15,True
0,primary,3x3,R00_S2_V3,2,3,P001;P003;P007;P017;P018;P022;P023;P024,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,valence,midpoint_as_high,8,8,6,2,True,48,48,23,25,True
0,primary,3x3,R00_S2_V3,2,3,P001;P003;P007;P017;P018;P022;P023;P024,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,arousal,discard_midpoint,8,7,6,1,True,48,35,8,27,True
0,primary,3x3,R00_S2_V3,2,3,P001;P003;P007;P017;P018;P022;P023;P024,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,arousal,midpoint_as_low,8,8,7,1,True,48,48,21,27,True
0,primary,3x3,R00_S2_V3,2,3,P001;P003;P007;P017;P018;P022;P023;P024,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,arousal,midpoint_as_high,8,8,6,2,True,48,48,8,40,True
0,primary,3x3,R00_S3_V1,3,1,P005;P010;P013;P016;P021;P025;P026;P028,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,valence,discard_midpoint,14,7,4,3,True,28,23,17,6,True
0,primary,3x3,R00_S3_V1,3,1,P005;P010;P013;P016;P021;P025;P026;P028,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,valence,midpoint_as_low,14,14,11,3,True,28,28,22,6,True
0,primary,3x3,R00_S3_V1,3,1,P005;P010;P013;P016;P021;P025;P026;P028,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,valence,midpoint_as_high,14,14,4,10,True,28,28,17,11,True
0,primary,3x3,R00_S3_V1,3,1,P005;P010;P013;P016;P021;P025;P026;P028,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,arousal,discard_midpoint,14,9,3,6,True,28,23,14,9,True
0,primary,3x3,R00_S3_V1,3,1,P005;P010;P013;P016;P021;P025;P026;P028,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,arousal,midpoint_as_low,14,14,8,6,True,28,28,19,9,True
0,primary,3x3,R00_S3_V1,3,1,P005;P010;P013;P016;P021;P025;P026;P028,Misery;Mr. Bean;My girl;The Champ;The Visitors;When Harry met Sally,arousal,midpoint_as_high,14,14,3,11,True,28,28,14,14,True
0,primary,3x3,R00_S3_V2,3,2,P005;P010;P013;P016;P021;P025;P026;P028,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,valence,discard_midpoint,6,6,4,2,True,51,47,35,12,True
0,primary,3x3,R00_S3_V2,3,2,P005;P010;P013;P016;P021;P025;P026;P028,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,valence,midpoint_as_low,6,6,4,2,True,51,51,39,12,True
0,primary,3x3,R00_S3_V2,3,2,P005;P010;P013;P016;P021;P025;P026;P028,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,valence,midpoint_as_high,6,6,4,2,True,51,51,35,16,True
0,primary,3x3,R00_S3_V2,3,2,P005;P010;P013;P016;P021;P025;P026;P028,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,arousal,discard_midpoint,6,6,2,4,True,51,41,20,21,True
0,primary,3x3,R00_S3_V2,3,2,P005;P010;P013;P016;P021;P025;P026;P028,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,arousal,midpoint_as_low,6,6,2,4,True,51,51,30,21,True
0,primary,3x3,R00_S3_V2,3,2,P005;P010;P013;P016;P021;P025;P026;P028,28 days later;Fish called Wanda;Scream;The Shining 2;There is something about Mary,arousal,midpoint_as_high,6,6,2,4,True,51,51,20,31,True
0,primary,3x3,R00_S3_V3,3,3,P005;P010;P013;P016;P021;P025;P026;P028,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,valence,discard_midpoint,4,3,3,0,False,53,48,32,16,True
0,primary,3x3,R00_S3_V3,3,3,P005;P010;P013;P016;P021;P025;P026;P028,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,valence,midpoint_as_low,4,4,4,0,False,53,53,37,16,True
0,primary,3x3,R00_S3_V3,3,3,P005;P010;P013;P016;P021;P025;P026;P028,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,valence,midpoint_as_high,4,4,3,1,True,53,53,32,21,True
0,primary,3x3,R00_S3_V3,3,3,P005;P010;P013;P016;P021;P025;P026;P028,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,arousal,discard_midpoint,4,4,3,1,True,53,40,16,24,True
0,primary,3x3,R00_S3_V3,3,3,P005;P010;P013;P016;P021;P025;P026;P028,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,arousal,midpoint_as_low,4,4,3,1,True,53,53,29,24,True
0,primary,3x3,R00_S3_V3,3,3,P005;P010;P013;P016;P021;P025;P026;P028,Dangerous Minds;Life is beautiful;The Exorcist;The Shining;There is something about Mary 2,arousal,midpoint_as_high,4,4,3,1,True,53,53,16,37,True
1,sensitivity,3x3,R01_S1_V1,1,1,P006;P008;P009;P010;P017;P023;P024;P028,My girl;Scream;The Champ;The Exorcist;There is something about Mary;There is something about Mary 2,valence,discard_midpoint,10,10,7,3,True,37,30,18,12,True
1,sensitivity,3x3,R01_S1_V1,1,1,P006;P008;P009;P010;P017;P023;P024;P028,My girl;Scream;The Champ;The Exorcist;There is something about Mary;There is something about Mary 2,valence,midpoint_as_low,10,10,7,3,True,37,37,25,12,True
1,sensitivity,3x3,R01_S1_V1,1,1,P006;P008;P009;P010;P017;P023;P024;P028,My girl;Scream;The Champ;The Exorcist;There is something about Mary;There is something about Mary 2,valence,midpoint_as_high,10,10,7,3,True,37,37,18,19,True
1,sensitivity,3x3,R01_S1_V1,1,1,P006;P008;P009;P010;P017;P023;P024;P028,My girl;Scream;The Champ;The Exorcist;There is something about Mary;There is something about Mary 2,arousal,discard_midpoint,10,6,2,4,True,37,33,13,20,True
1,sensitivity,3x3,R01_S1_V1,1,1,P006;P008;P009;P010;P017;P023;P024;P028,My girl;Scream;The Champ;The Exorcist;There is something about Mary;There is something about Mary 2,arousal,midpoint_as_low,10,10,6,4,True,37,37,17,20,True
1,sensitivity,3x3,R01_S1_V1,1,1,P006;P008;P009;P010;P017;P023;P024;P028,My girl;Scream;The Champ;The Exorcist;There is something about Mary;There is something about Mary 2,arousal,midpoint_as_high,10,10,2,8,True,37,37,13,24,True
1,sensitivity,3x3,R01_S1_V2,1,2,P006;P008;P009;P010;P017;P023;P024;P028,Life is beautiful;Misery;Mr. Bean;The Shining 2;The Visitors,valence,discard_midpoint,11,10,7,3,True,41,33,26,7,True
1,sensitivity,3x3,R01_S1_V2,1,2,P006;P008;P009;P010;P017;P023;P024;P028,Life is beautiful;Misery;Mr. Bean;The Shining 2;The Visitors,valence,midpoint_as_low,11,11,8,3,True,41,41,34,7,True
1,sensitivity,3x3,R01_S1_V2,1,2,P006;P008;P009;P010;P017;P023;P024;P028,Life is beautiful;Misery;Mr. Bean;The Shining 2;The Visitors,valence,midpoint_as_high,11,11,7,4,True,41,41,26,15,True
1,sensitivity,3x3,R01_S1_V2,1,2,P006;P008;P009;P010;P017;P023;P024;P028,Life is beautiful;Misery;Mr. Bean;The Shining 2;The Visitors,arousal,discard_midpoint,11,10,6,4,True,41,31,15,16,True
1,sensitivity,3x3,R01_S1_V2,1,2,P006;P008;P009;P010;P017;P023;P024;P028,Life is beautiful;Misery;Mr. Bean;The Shining 2;The Visitors,arousal,midpoint_as_low,11,11,7,4,True,41,41,25,16,True
1,sensitivity,3x3,R01_S1_V2,1,2,P006;P008;P009;P010;P017;P023;P024;P028,Life is beautiful;Misery;Mr. Bean;The Shining 2;The Visitors,arousal,midpoint_as_high,11,11,6,5,True,41,41,15,26,True
1,sensitivity,3x3,R01_S1_V3,1,3,P006;P008;P009;P010;P017;P023;P024;P028,28 days later;Dangerous Minds;Fish called Wanda;The Shining;When Harry met Sally,valence,discard_midpoint,9,7,6,1,True,42,33,22,11,True
1,sensitivity,3x3,R01_S1_V3,1,3,P006;P008;P009;P010;P017;P023;P024;P028,28 days later;Dangerous Minds;Fish called Wanda;The Shining;When Harry met Sally,valence,midpoint_as_low,9,9,8,1,True,42,42,31,11,True
1,sensitivity,3x3,R01_S1_V3,1,3,P006;P008;P009;P010;P017;P023;P024;P028,28 days later;Dangerous Minds;Fish called Wanda;The Shining;When Harry met Sally,valence,midpoint_as_high,9,9,6,3,True,42,42,22,20,True
1,sensitivity,3x3,R01_S1_V3,1,3,P006;P008;P009;P010;P017;P023;P024;P028,28 days later;Dangerous Minds;Fish called Wanda;The Shining;When Harry met Sally,arousal,discard_midpoint,9,9,5,4,True,42,28,12,16,True
1,sensitivity,3x3,R01_S1_V3,1,3,P006;P008;P009;P010;P017;P023;P024;P028,28 days later;Dangerous Minds;Fish called Wanda;The Shining;When Harry met Sally,arousal,midpoint_as_low,9,9,5,4,True,42,42,26,16,True
1,sensitivity,3x3,R01_S1_V3,1,3,P006;P008;P009;P010;P017;P023;P024;P028,28 days later;Dangerous Minds;Fish called Wanda;The Shining;When Harry met Sally,arousal,midpoint_as_high,9,9,5,4,True,42,42,12,30,True
1,sensitivity,3x3,R01_S2_V1,2,1,P003;P005;P007;P013;P016;P025;P026;P027,My girl;Scream;The Champ;The Exorcist;There is something about Mary;There is something about Mary 2,valence,discard_midpoint,8,5,4,1,True,38,33,23,10,True
1,sensitivity,3x3,R01_S2_V1,2,1,P003;P005;P007;P013;P016;P025;P026;P027,My girl;Scream;The Champ;The Exorcist;There is something about Mary;There is something about Mary 2,valence,midpoint_as_low,8,8,7,1,True,38,38,28,10,True
1,sensitivity,3x3,R01_S2_V1,2,1,P003;P005;P007;P013;P016;P025;P026;P027,My girl;Scream;The Champ;The Exorcist;There is something about Mary;There is something about Mary 2,valence,midpoint_as_high,8,8,4,4,True,38,38,23,15,True
1,sensitivity,3x3,R01_S2_V1,2,1,P003;P005;P007;P013;P016;P025;P026;P027,My girl;Scream;The Champ;The Exorcist;There is something about Mary;There is something about Mary 2,arousal,discard_midpoint,8,7,4,3,True,38,35,19,16,True
1,sensitivity,3x3,R01_S2_V1,2,1,P003;P005;P007;P013;P016;P025;P026;P027,My girl;Scream;The Champ;The Exorcist;There is something about Mary;There is something about Mary 2,arousal,midpoint_as_low,8,8,5,3,True,38,38,22,16,True
1,sensitivity,3x3,R01_S2_V1,2,1,P003;P005;P007;P013;P016;P025;P026;P027,My girl;Scream;The Champ;The Exorcist;There is something about Mary;There is something about Mary 2,arousal,midpoint_as_high,8,8,4,4,True,38,38,19,19,True
1,sensitivity,3x3,R01_S2_V2,2,2,P003;P005;P007;P013;P016;P025;P026;P027,Life is beautiful;Misery;Mr. Bean;The Shining 2;The Visitors,valence,discard_midpoint,8,5,1,4,True,41,36,28,8,True
1,sensitivity,3x3,R01_S2_V2,2,2,P003;P005;P007;P013;P016;P025;P026;P027,Life is beautiful;Misery;Mr. Bean;The Shining 2;The Visitors,valence,midpoint_as_low,8,8,4,4,True,41,41,33,8,True
1,sensitivity,3x3,R01_S2_V2,2,2,P003;P005;P007;P013;P016;P025;P026;P027,Life is beautiful;Misery;Mr. Bean;The Shining 2;The Visitors,valence,midpoint_as_high,8,8,1,7,True,41,41,28,13,True
1,sensitivity,3x3,R01_S2_V2,2,2,P003;P005;P007;P013;P016;P025;P026;P027,Life is beautiful;Misery;Mr. Bean;The Shining 2;The Visitors,arousal,discard_midpoint,8,6,1,5,True,41,28,14,14,True
1,sensitivity,3x3,R01_S2_V2,2,2,P003;P005;P007;P013;P016;P025;P026;P027,Life is beautiful;Misery;Mr. Bean;The Shining 2;The Visitors,arousal,midpoint_as_low,8,8,3,5,True,41,41,27,14,True
1,sensitivity,3x3,R01_S2_V2,2,2,P003;P005;P007;P013;P016;P025;P026;P027,Life is beautiful;Misery;Mr. Bean;The Shining 2;The Visitors,arousal,midpoint_as_high,8,8,1,7,True,41,41,14,27,True
1,sensitivity,3x3,R01_S2_V3,2,3,P003;P005;P007;P013;P016;P025;P026;P027,28 days later;Dangerous Minds;Fish called Wanda;The Shining;When Harry met Sally,valence,discard_midpoint,11,9,7,2,True,47,43,31,12,True
1,sensitivity,3x3,R01_S2_V3,2,3,P003;P005;P007;P013;P016;P025;P026;P027,28 days later;Dangerous Minds;Fish called Wanda;The Shining;When Harry met Sally,valence,midpoint_as_low,11,11,9,2,True,47,47,35,12,True
1,sensitivity,3x3,R01_S2_V3,2,3,P003;P005;P007;P013;P016;P025;P026;P027,28 days later;Dangerous Minds;Fish called Wanda;The Shining;When Harry met Sally,valence,midpoint_as_high,11,11,7,4,True,47,47,31,16,True
1,sensitivity,3x3,R01_S2_V3,2,3,P003;P005;P007;P013;P016;P025;P026;P027,28 days later;Dangerous Minds;Fish called Wanda;The Shining;When Harry met Sally,arousal,discard_midpoint,11,11,4,7,True,47,31,15,16,True
1,sensitivity,3x3,R01_S2_V3,2,3,P003;P005;P007;P013;P016;P025;P026;P027,28 days later;Dangerous Minds;Fish called Wanda;The Shining;When Harry met Sally,arousal,midpoint_as_low,11,11,4,7,True,47,47,31,16,True
1,sensitivity,3x3,R01_S2_V3,2,3,P003;P005;P007;P013;P016;P025;P026;P027,28 days later;Dangerous Minds;Fish called Wanda;The Shining;When Harry met Sally,arousal,midpoint_as_high,11,11,4,7,True,47,47,15,32,True
